N,method_index,method_id,method_name,iteration,original_true_relative_residual
400,1,full,Preconditioned full GMRES,0,1
400,1,full,Preconditioned full GMRES,1,0.000151360673230502
400,1,full,Preconditioned full GMRES,2,1.02416685694662e-06
400,1,full,Preconditioned full GMRES,3,1.50252149244951e-08
400,1,full,Preconditioned full GMRES,4,1.87085333577026e-10
400,2,fixed,Fixed Tucker-GMRES,0,1
400,2,fixed,Fixed Tucker-GMRES,1,0.000151360676172663
400,2,fixed,Fixed Tucker-GMRES,2,1.170427230694e-06
400,2,fixed,Fixed Tucker-GMRES,3,5.55021178193846e-07
400,2,fixed,Fixed Tucker-GMRES,4,5.54833366210546e-07
400,3,relaxed,Relaxed Tucker-GMRES,0,1
400,3,relaxed,Relaxed Tucker-GMRES,1,0.000151360676172663
400,3,relaxed,Relaxed Tucker-GMRES,2,1.17042726671419e-06
400,3,relaxed,Relaxed Tucker-GMRES,3,7.58178894702721e-07
400,3,relaxed,Relaxed Tucker-GMRES,4,7.71372456409489e-07
