N,block_index,order_position,method_id,phase,time_sec,percent_of_solver_time
150,3,1,plain,small_least_squares,0.0280775833333333,0.212410549280337
150,3,1,plain,basis_normalisation,0.00222166666666667,0.0168071956685902
150,3,1,plain,solution_assembly,0.3241955,2.45258088674109
150,3,1,plain,unclassified_solver_overhead,0.27772308333333,2.10101104423142
150,3,2,rhosvd_sgmres,initial_residual,0,0
150,3,2,rhosvd_sgmres,operator_and_preconditioner,0.22538975,1.41695542589508
150,3,2,rhosvd_sgmres,residual_sketch,0.68849,4.32832301013913
150,3,2,rhosvd_sgmres,orthogonalisation_inner_products,0.0250917083333333,0.157743785011934
150,3,2,rhosvd_sgmres,tucker_sums_and_rounding,10.8112522083333,67.9669881940865
150,3,2,rhosvd_sgmres,small_least_squares,0.0285794166666667,0.179669925161857
150,3,2,rhosvd_sgmres,basis_normalisation,0.00221891666666667,0.0139496406133924
150,3,2,rhosvd_sgmres,solution_assembly,4.03758329166667,25.3830334016095
150,3,2,rhosvd_sgmres,unclassified_solver_overhead,0.0880171666666687,0.553336617482597
150,3,3,fixed,initial_residual,0.000157791666666667,0.000112510832253705
150,3,3,fixed,operator_and_preconditioner,12.3067862916667,8.77515775892624
150,3,3,fixed,residual_sketch,0,0
150,3,3,fixed,orthogonalisation_inner_products,1.05086420833333,0.749301969887809
150,3,3,fixed,tucker_sums_and_rounding,125.462687791667,89.4591692858337
150,3,3,fixed,small_least_squares,0.0101647083333333,0.0072477832217555
150,3,3,fixed,basis_normalisation,0.00415304166666667,0.00296126014872552
150,3,3,fixed,solution_assembly,1.090559375,0.777605975621845
150,3,3,fixed,unclassified_solver_overhead,0.320382249999938,0.228443455527695
150,3,4,relaxed,initial_residual,0.000185333333333333,0.000909462584634638
150,3,4,relaxed,operator_and_preconditioner,3.04502783333333,14.9424759905814
150,3,4,relaxed,residual_sketch,0,0
150,3,4,relaxed,orthogonalisation_inner_products,0.364706791666666,1.78967903623906
150,3,4,relaxed,tucker_sums_and_rounding,15.7217431666666,77.1493013056759
150,3,4,relaxed,small_least_squares,0.00973479166666667,0.0477702992268691
150,3,4,relaxed,basis_normalisation,0.00191454166666667,0.00939498567926641
150,3,4,relaxed,solution_assembly,1.03739979166667,5.09069943792411
150,3,4,relaxed,unclassified_solver_overhead,0.197622875000032,0.969769482088799
150,4,1,rhosvd_sgmres,initial_residual,0,0
150,4,1,rhosvd_sgmres,operator_and_preconditioner,0.22450525,1.44392531017024
150,4,1,rhosvd_sgmres,residual_sketch,0.672318625,4.32407651552182
150,4,1,rhosvd_sgmres,orthogonalisation_inner_products,0.0233494166666667,0.150173832027139
150,4,1,rhosvd_sgmres,tucker_sums_and_rounding,10.6269906666667,68.3484274623552
150,4,1,rhosvd_sgmres,small_least_squares,0.028180375,0.18124456649717
150,4,1,rhosvd_sgmres,basis_normalisation,0.00201766666666667,0.0129768010658406
150,4,1,rhosvd_sgmres,solution_assembly,3.88538020833333,24.989165386765
150,4,1,rhosvd_sgmres,unclassified_solver_overhead,0.0855169999999976,0.55001012559762
150,4,2,fixed,initial_residual,0.000135708333333333,9.3829082871654e-05
150,4,2,fixed,operator_and_preconditioner,12.4372402083333,8.5991391504013
150,4,2,fixed,residual_sketch,0,0
150,4,2,fixed,orthogonalisation_inner_products,1.19649520833333,0.827259795332479
150,4,2,fixed,tucker_sums_and_rounding,129.585889791667,89.596010013578
150,4,2,fixed,small_least_squares,0.0120201666666667,0.00831077345506486
150,4,2,fixed,basis_normalisation,0.00452466666666667,0.00312836590948684
150,4,2,fixed,solution_assembly,1.07462054166667,0.742995344375487
150,4,2,fixed,unclassified_solver_overhead,0.322623541666673,0.223062727865315
150,4,3,relaxed,initial_residual,0.000164458333333333,0.000798068702048521
150,4,3,relaxed,operator_and_preconditioner,3.03989966666667,14.7517534208324
150,4,3,relaxed,residual_sketch,0,0
150,4,3,relaxed,orthogonalisation_inner_products,0.400041333333335,1.94128482995142
