N,m,method_code,run_id,restart_length,q,s,zeta,iteration,true_relres
100,10000,2,3,0,2,502,12,20,0.000500674287692576
100,10000,2,3,0,2,502,12,30,0.000156578676093864
100,10000,2,3,0,2,502,12,50,3.49611489099863e-05
100,10000,2,3,0,2,502,12,75,1.06499218092339e-05
100,10000,2,3,0,2,502,12,100,4.50173533098689e-06
100,10000,2,3,0,2,502,12,125,2.50943142403876e-06
100,10000,2,3,0,2,502,12,150,1.49936586992541e-06
100,10000,2,3,0,2,502,12,175,7.22765796269662e-07
100,10000,2,3,0,2,502,12,200,1.9336636468291e-07
100,10000,2,3,0,2,502,12,225,4.24739311292282e-08
100,10000,2,3,0,2,502,12,250,1.00599367730001e-08
100,10000,2,4,0,2,502,12,0,1
100,10000,2,4,0,2,502,12,5,0.0160765776720524
100,10000,2,4,0,2,502,12,10,0.00313456491342958
100,10000,2,4,0,2,502,12,20,0.000499046796285688
100,10000,2,4,0,2,502,12,30,0.000158030202054234
100,10000,2,4,0,2,502,12,50,3.44556139407661e-05
100,10000,2,4,0,2,502,12,75,1.0717062166647e-05
100,10000,2,4,0,2,502,12,100,4.63192448490476e-06
100,10000,2,4,0,2,502,12,125,2.43364900241777e-06
100,10000,2,4,0,2,502,12,150,1.44449968876567e-06
100,10000,2,4,0,2,502,12,175,7.03123167209072e-07
100,10000,2,4,0,2,502,12,200,1.97809055732779e-07
100,10000,2,4,0,2,502,12,225,4.33384891154066e-08
100,10000,2,4,0,2,502,12,250,9.8307450770807e-09
100,10000,2,5,0,2,502,12,0,1
100,10000,2,5,0,2,502,12,5,0.0159180200091833
100,10000,2,5,0,2,502,12,10,0.00307052346555799
100,10000,2,5,0,2,502,12,20,0.000505798971752175
100,10000,2,5,0,2,502,12,30,0.000158305200783575
100,10000,2,5,0,2,502,12,50,3.40479872892257e-05
100,10000,2,5,0,2,502,12,75,1.09217519218798e-05
100,10000,2,5,0,2,502,12,100,4.69985285471809e-06
100,10000,2,5,0,2,502,12,125,2.48871364115243e-06
100,10000,2,5,0,2,502,12,150,1.48075653613726e-06
100,10000,2,5,0,2,502,12,175,6.97641734824978e-07
100,10000,2,5,0,2,502,12,200,2.01105985234603e-07
100,10000,2,5,0,2,502,12,225,4.45972623742896e-08
100,10000,2,5,0,2,502,12,250,1.00961613910724e-08
200,40000,1,0,0,0,0,0,0,1
200,40000,1,0,0,0,0,0,5,0.0159467968628991
200,40000,1,0,0,0,0,0,10,0.00301683521439754
200,40000,1,0,0,0,0,0,20,0.000470652284153238
200,40000,1,0,0,0,0,0,30,0.000151063000777927
200,40000,1,0,0,0,0,0,50,3.54531992446467e-05
200,40000,1,0,0,0,0,0,75,1.11864901847888e-05
200,40000,1,0,0,0,0,0,100,4.99802346420511e-06
200,40000,1,0,0,0,0,0,125,2.10684861297778e-06
