N,method_id,method_name,residual_seed,arnoldi_iteration,true_relative_residual
200,plain,Plain Tucker sGMRES,101,80,3.8862593411422e-05
200,plain,Plain Tucker sGMRES,101,100,2.42172450795112e-05
200,plain,Plain Tucker sGMRES,202,0,1
200,plain,Plain Tucker sGMRES,202,20,0.000549546982150007
200,plain,Plain Tucker sGMRES,202,40,0.000135290387204526
200,plain,Plain Tucker sGMRES,202,60,6.24430332376595e-05
200,plain,Plain Tucker sGMRES,202,80,3.89772389991244e-05
200,plain,Plain Tucker sGMRES,202,100,2.45626965276221e-05
200,plain,Plain Tucker sGMRES,303,0,1
200,plain,Plain Tucker sGMRES,303,20,0.000567144609547261
200,plain,Plain Tucker sGMRES,303,40,0.000131312783367943
200,plain,Plain Tucker sGMRES,303,60,6.77232104831556e-05
200,plain,Plain Tucker sGMRES,303,80,3.89297319979901e-05
200,plain,Plain Tucker sGMRES,303,100,2.53485761319687e-05
200,plain,Plain Tucker sGMRES,404,0,1
200,plain,Plain Tucker sGMRES,404,20,0.000551946787490286
200,plain,Plain Tucker sGMRES,404,40,0.00013417233356072
200,plain,Plain Tucker sGMRES,404,60,6.35518676633067e-05
200,plain,Plain Tucker sGMRES,404,80,3.72537830669936e-05
200,plain,Plain Tucker sGMRES,404,100,2.31133058981653e-05
200,plain,Plain Tucker sGMRES,505,0,1
200,plain,Plain Tucker sGMRES,505,20,0.000555170091727147
200,plain,Plain Tucker sGMRES,505,40,0.000132473854313528
200,plain,Plain Tucker sGMRES,505,60,6.61732122477907e-05
200,plain,Plain Tucker sGMRES,505,80,3.84015100237468e-05
200,plain,Plain Tucker sGMRES,505,100,2.46789336330456e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,0,1
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,20,0.00056133202514024
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,40,0.000136500428201594
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,60,6.54988708863483e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,80,3.88286571903067e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,100,2.41789556572979e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,0,1
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,20,0.00054953767489053
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,40,0.000135234410998895
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,60,6.24231211198552e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,80,3.89443556942323e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,202,100,2.45197189582682e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,0,1
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,20,0.000567135442548599
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,40,0.000131260279836506
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,60,6.77018967630186e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,80,3.88964673136077e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,303,100,2.53091418339432e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,0,1
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,20,0.000551937395010639
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,40,0.000134116177768058
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,60,6.35334440863898e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,80,3.72206108982386e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,404,100,2.30727911226243e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,0,1
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,20,0.000555160753031133
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,40,0.000132418087651137
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,60,6.61561149487269e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,80,3.83696059470827e-05
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,505,100,2.4640757537846e-05
250,fixed,Fixed Tucker GMRES,NaN,0,1
250,fixed,Fixed Tucker GMRES,NaN,20,0.000679582801852448
250,fixed,Fixed Tucker GMRES,NaN,40,0.000157989040649152
250,fixed,Fixed Tucker GMRES,NaN,60,8.20574132589598e-05
250,fixed,Fixed Tucker GMRES,NaN,80,5.00036701780519e-05
250,fixed,Fixed Tucker GMRES,NaN,100,3.35835248971725e-05
