N,method_index,method_id,method_name,iteration,maximum_basis_rank_to_iteration,new_basis_vector_maximum_rank
400,2,fixed,Fixed Tucker-GMRES,0,10,10
400,2,fixed,Fixed Tucker-GMRES,1,21,21
400,2,fixed,Fixed Tucker-GMRES,2,40,40
400,2,fixed,Fixed Tucker-GMRES,3,71,71
400,2,fixed,Fixed Tucker-GMRES,4,102,102
400,3,relaxed,Relaxed Tucker-GMRES,0,10,10
400,3,relaxed,Relaxed Tucker-GMRES,1,21,21
400,3,relaxed,Relaxed Tucker-GMRES,2,22,22
400,3,relaxed,Relaxed Tucker-GMRES,3,22,20
400,3,relaxed,Relaxed Tucker-GMRES,4,25,25
