N,layer,timing_block,order_position,method_id,method_name,residual_seed,randomized,completed_iterations,stop_reason,true_relative_residual,independent_preconditioned_relative_residual,computed_internal_relative_residual,maximum_basis_rank,maximum_solution_rank,peak_basis_storage_mib,sketch_matrix_rank,sketch_matrix_condition,basis_orthogonality_error_fro,rank_cap_active,breakdown,memory_limit_active,solver_time_sec,diagnostic_time_sec,wall_time_sec,timing_closure_relative_error,internal_to_independent_residual_ratio,endpoint_relative_drift
150,timing,1,1,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,1.35306417978885e-05,2.42789244973627e-10,8.29656159206691e-11,106,12,190.650520324707,NaN,NaN,NaN,0,0,0,143.100518041667,0.00936833333333333,143.11167525,1.24998536760126e-05,0.341718661918823,0
150,timing,1,2,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000241380770036527,5.34893136271908e-08,5.33388683507804e-09,60,50,38.7406921386719,NaN,NaN,NaN,0,0,0,20.3116934583333,0.155184875,20.4685668333333,8.24923412447882e-05,0.0997187376950488,0
150,timing,1,3,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,1.35849462714117e-05,2.54314668921388e-10,7.69901614930871e-11,44,12,37.1185073852539,100,1199.39843341628,1.35332873851923e-09,0,0,0,12.7440927083333,2.791108625,15.5352084583333,4.58635622331068e-07,0.302735826523973,0
150,timing,1,4,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,1.35745813223337e-05,1.18251092853425e-10,7.69950476928952e-11,52,12,46.3774871826172,100,1199.39869920252,1.00922472109766e-09,0,0,0,15.6545829166667,0.974707,16.6293218333333,1.91930055744738e-06,0.651114893190309,0
150,timing,2,1,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000241380770036527,5.34893136271908e-08,5.33388683507804e-09,60,50,38.7406921386719,NaN,NaN,NaN,0,0,0,19.9758559166667,0.149308916666667,20.126580625,7.03443716069189e-05,0.0997187376950488,0
150,timing,2,2,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,1.35849462714117e-05,2.54314668921388e-10,7.69901614930871e-11,44,12,37.1185073852539,100,1199.39843341628,1.35332873851923e-09,0,0,0,13.4083999166667,3.15867758333333,16.56709,7.54507882794798e-07,0.302735826523973,0
150,timing,2,3,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,1.35745813223337e-05,1.18251092853425e-10,7.69950476928952e-11,52,12,46.3774871826172,100,1199.39869920252,1.00922472109766e-09,0,0,0,16.002633875,1.00041879166667,17.0030737916667,1.24242241471e-06,0.651114893190309,0
150,timing,2,4,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,1.35306417978885e-05,2.42789244973627e-10,8.29656159206691e-11,106,12,190.650520324707,NaN,NaN,NaN,0,0,0,144.329348541667,0.00932095833333333,144.340564375,1.3127806505369e-05,0.341718661918823,0
150,timing,3,1,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,1.35849462714117e-05,2.54314668921388e-10,7.69901614930871e-11,44,12,37.1185073852539,100,1199.39843341628,1.35332873851923e-09,0,0,0,13.2185446666667,2.83602854166667,16.0545945416667,1.3287992591955e-06,0.302735826523973,0
150,timing,3,2,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,1.35745813223337e-05,1.18251092853425e-10,7.69950476928952e-11,52,12,46.3774871826172,100,1199.39869920252,1.00922472109766e-09,0,0,0,15.9066224583333,0.967661916666667,16.8743015416667,1.0173260579843e-06,0.651114893190309,0
150,timing,3,3,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,1.35306417978885e-05,2.42789244973627e-10,8.29656159206691e-11,106,12,190.650520324707,NaN,NaN,NaN,0,0,0,140.245755458333,0.00914216666666667,140.256831291667,1.37866130926051e-05,0.341718661918823,0
150,timing,3,4,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000241380770036527,5.34893136271908e-08,5.33388683507804e-09,60,50,38.7406921386719,NaN,NaN,NaN,0,0,0,20.378335125,0.152116875,20.5318958333333,7.03214815157384e-05,0.0997187376950488,0
150,timing,4,1,rhosvd_sgmres,RHOSVD Tucker sGMRES,101,1,100,iteration_limit,1.35745813223337e-05,1.18251092853425e-10,7.69950476928952e-11,52,12,46.3774871826172,100,1199.39869920252,1.00922472109766e-09,0,0,0,15.5482592083333,0.972320041666667,16.5206055416667,1.59144691152388e-06,0.651114893190309,0
150,timing,4,2,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,1.35306417978885e-05,2.42789244973627e-10,8.29656159206691e-11,106,12,190.650520324707,NaN,NaN,NaN,0,0,0,144.633549833333,0.00895058333333333,144.644610083333,1.45851730352436e-05,0.341718661918823,0
150,timing,4,3,relaxed,Relaxed Tucker GMRES,NaN,0,100,iteration_limit,0.000241380770036527,5.34893136271908e-08,5.33388683507804e-09,60,50,38.7406921386719,NaN,NaN,NaN,0,0,0,20.6070395833333,0.146381875,20.7546902916667,6.11347755858003e-05,0.0997187376950488,0
150,timing,4,4,plain,Plain Tucker sGMRES,101,1,100,iteration_limit,1.35849462714117e-05,2.54314668921388e-10,7.69901614930871e-11,44,12,37.1185073852539,100,1199.39843341628,1.35332873851923e-09,0,0,0,12.804171875,2.90932270833333,15.7135056666667,7.05338042855675e-07,0.302735826523973,0
200,timing,1,1,fixed,Fixed Tucker GMRES,NaN,0,100,iteration_limit,2.4315885046627e-05,3.2585409525358e-10,1.27246573498741e-10,118,13,270.708763122559,NaN,NaN,NaN,0,0,0,191.684612458333,0.0117785416666667,191.698153125,9.19218558563031e-06,0.390501685730594,0
