N,method_id,method_name,median_true_relative_residual,minimum_true_relative_residual,maximum_true_relative_residual,number_of_accuracy_runs,median_solver_time_sec,minimum_solver_time_sec,maximum_solver_time_sec,speedup_over_fixed_tucker_gmres,median_maximum_basis_rank,median_peak_basis_storage_mib,median_sketch_matrix_condition
150,fixed,Fixed Tucker GMRES,1.35306417978885e-05,1.35306417978885e-05,1.35306417978885e-05,1,143.714933291667,140.245755458333,144.633549833333,1,106,190.650520324707,NaN
150,relaxed,Relaxed Tucker GMRES,0.000241380770036527,0.000241380770036527,0.000241380770036527,1,20.3450142916667,19.9758559166667,20.6070395833333,7.06388952258109,60,38.7406921386719,NaN
150,plain,Plain Tucker sGMRES,1.35849462714117e-05,1.33147733502708e-05,1.4245545754347e-05,5,13.0113582708333,12.7440927083333,13.4083999166667,11.045344406035,44,37.1185073852539,1544.74190611299
150,rhosvd_sgmres,RHOSVD Tucker sGMRES,1.35745813223337e-05,1.33032766950501e-05,1.42324007872509e-05,5,15.7806026875,15.5482592083333,16.002633875,9.10706239410647,49,45.6963577270508,1544.74328515627
200,fixed,Fixed Tucker GMRES,2.4315885046627e-05,2.4315885046627e-05,2.4315885046627e-05,1,197.699497833333,191.684612458333,199.743515166667,1,118,270.708763122559,NaN
200,relaxed,Relaxed Tucker GMRES,0.000368419217519954,0.000368419217519954,0.000368419217519954,1,24.7566743125,24.709781875,25.1176348333333,7.98570499970233,64,51.5406265258789,NaN
200,plain,Plain Tucker sGMRES,2.45626965276221e-05,2.31133058981653e-05,2.53485761319687e-05,5,19.3319945416667,18.8998550416667,21.2540927083333,10.2265442609777,46,43.8169860839844,1437.65838744604
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,2.45197189582682e-05,2.30727911226243e-05,2.53091418339432e-05,5,16.7000031875,16.6301690416667,16.9706995,11.8382910238791,53,52.3894195556641,1437.6592605323
250,fixed,Fixed Tucker GMRES,3.35835248971725e-05,3.35835248971725e-05,3.35835248971725e-05,1,222.830255270833,216.099449083333,224.366424166667,1,127,319.687339782715,NaN
250,relaxed,Relaxed Tucker GMRES,0.00044254701462563,0.00044254701462563,0.00044254701462563,1,27.5417498541667,26.8127499166667,27.8625106666667,8.0906353608873,66,60.8095779418945,NaN
250,plain,Plain Tucker sGMRES,3.32469220988011e-05,3.2922325452094e-05,3.45734583576431e-05,5,24.7781538541667,23.8920780416667,27.524812375,8.99301282017677,50,51.5673828125,1356.90647800241
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,3.31619896175834e-05,3.28395120450882e-05,3.44934662906617e-05,5,19.136567125,18.5303969166667,19.3366912083333,11.6442125599282,56,63.3776168823242,1356.90563446785
