N,method_index,method_id,method_name,iteration,maximum_basis_rank_to_iteration,new_basis_vector_maximum_rank
300,2,fixed,Fixed Tucker-GMRES,0,9,9
300,2,fixed,Fixed Tucker-GMRES,1,19,19
300,2,fixed,Fixed Tucker-GMRES,2,33,33
300,2,fixed,Fixed Tucker-GMRES,3,60,60
300,2,fixed,Fixed Tucker-GMRES,4,86,86
300,3,relaxed,Relaxed Tucker-GMRES,0,9,9
300,3,relaxed,Relaxed Tucker-GMRES,1,19,19
300,3,relaxed,Relaxed Tucker-GMRES,2,21,21
300,3,relaxed,Relaxed Tucker-GMRES,3,21,19
300,3,relaxed,Relaxed Tucker-GMRES,4,21,21
