N,method_id,method_name,number_of_runs,median_solver_time_sec,minimum_solver_time_sec,maximum_solver_time_sec,relative_timing_range,maximum_endpoint_relative_drift,maximum_timing_closure_relative_error
150,fixed,Fixed Tucker GMRES,4,143.714933291667,140.245755458333,144.633549833333,0.0305312348167396,0,1.45851730352436e-05
150,relaxed,Relaxed Tucker GMRES,4,20.3450142916667,19.9758559166667,20.6070395833333,0.0310239972121914,0,8.24923412447882e-05
150,plain,Plain Tucker sGMRES,4,13.0113582708333,12.7440927083333,13.4083999166667,0.0510559462360256,0,1.3287992591955e-06
150,rhosvd_sgmres,RHOSVD Tucker sGMRES,4,15.7806026875,15.5482592083333,16.002633875,0.0287932391217595,0,1.91930055744738e-06
200,fixed,Fixed Tucker GMRES,4,197.699497833333,191.684612458333,199.743515166667,0.0407633949334923,0,9.47695903610846e-06
200,relaxed,Relaxed Tucker GMRES,4,24.7566743125,24.709781875,25.1176348333333,0.0164744647518105,0,5.93671023000372e-05
200,plain,Plain Tucker sGMRES,4,19.3319945416667,18.8998550416667,21.2540927083333,0.121779346750411,0,1.34975741299906e-06
200,rhosvd_sgmres,RHOSVD Tucker sGMRES,4,16.7000031875,16.6301690416667,16.9706995,0.0203910415171789,0,1.8208295264872e-06
250,fixed,Fixed Tucker GMRES,4,222.830255270833,216.099449083333,224.366424166667,0.037099877093824,0,1.10987333539547e-05
250,relaxed,Relaxed Tucker GMRES,4,27.5417498541667,26.8127499166667,27.8625106666667,0.0381152525006025,0,7.05916738074302e-05
250,plain,Plain Tucker sGMRES,4,24.7781538541667,23.8920780416667,27.524812375,0.146610371164616,0,6.64790183265503e-07
250,rhosvd_sgmres,RHOSVD Tucker sGMRES,4,19.136567125,18.5303969166667,19.3366912083333,0.0421336954742173,0,3.53988671691982e-06
